area_name,city,latitude,longitude,street_light,crowd,crime_area,nearby_shop,open_businesses,recent_crime_reports,crime_type,timestamp,safety_score
MG Road,Pune,18.545272,73.744618,good,high,low,False,0,1,robbery,2026-04-29 16:45,89
Yerwada,Pune,18.479187,73.894154,poor,high,medium,True,2,6,robbery,2026-06-25 04:37,47
MG Road,Pune,18.560911,73.804634,moderate,medium,medium,True,26,8,harassment,2026-07-05 02:13,51
Yerwada,Pune,18.499373,73.748671,moderate,high,high,True,18,6,robbery,2026-06-11 15:34,42
Shivaji Nagar,Pune,18.57846,73.737157,moderate,low,medium,True,40,5,snatching,2026-08-20 13:05,45
Wakad,Pune,18.603074,73.739275,moderate,high,medium,False,35,4,snatching,2026-10-30 00:43,55
Pimpri,Pune,18.627392,73.923964,moderate,high,medium,True,3,3,theft,2026-02-20 00:09,66
Chinchwad,Pune,18.470691,73.881247,moderate,low,high,False,27,5,snatching,2026-05-26 07:05,22
Hinjewadi,Pune,18.453161,73.801719,good,high,medium,True,29,1,harassment,2026-11-24 09:16,82
Camp,Pune,18.636509,73.734201,good,medium,medium,False,24,8,none,2026-04-10 12:33,53
Viman Nagar,Pune,18.539525,73.770116,good,medium,medium,True,22,7,none,2026-12-05 09:45,64
Yerwada,Pune,18.646423,73.885488,poor,high,high,True,25,5,theft,2026-01-31 11:37,35
Hadapsar,Pune,18.483855,73.798526,good,medium,medium,False,7,5,robbery,2026-10-21 16:02,62
MG Road,Pune,18.521958,73.824505,poor,low,high,False,14,3,harassment,2026-04-16 10:09,18
Camp,Pune,18.639352,73.775039,poor,high,low,True,23,7,snatching,2026-01-27 10:57,59
Kothrud,Pune,18.45905,73.924668,good,low,high,True,29,0,snatching,2026-02-21 19:39,55
Yerwada,Pune,18.555898,73.758935,moderate,medium,high,False,1,2,harassment,2026-04-13 18:31,46
Kharadi,Pune,18.528775,73.917946,moderate,medium,high,False,34,0,snatching,2026-05-26 07:17,52
Baner,Pune,18.523923,73.925809,moderate,high,high,False,1,0,none,2026-05-13 22:07,52
MG Road,Pune,18.647002,73.94583,moderate,medium,high,True,14,7,harassment,2026-12-05 08:41,39
Hadapsar,Pune,18.451606,73.810984,moderate,medium,low,False,26,0,none,2026-01-04 17:12,82
MG Road,Pune,18.540745,73.812189,moderate,high,low,False,30,4,theft,2026-11-13 21:27,70
Camp,Pune,18.517587,73.78322,moderate,medium,high,False,19,7,theft,2026-01-23 12:27,31
Wakad,Pune,18.563492,73.845688,moderate,low,medium,True,36,2,robbery,2026-10-14 17:21,54
Baner,Pune,18.590326,73.859735,poor,low,low,True,22,8,none,2026-08-31 09:53,41
Aundh,Pune,18.481603,73.926289,good,medium,high,False,32,4,theft,2026-02-15 18:10,50
Baner,Pune,18.508653,73.931698,good,high,low,True,16,1,harassment,2026-02-04 04:39,97
Baner,Pune,18.625477,73.711316,moderate,medium,low,False,35,7,snatching,2026-08-27 15:23,61
Shivaji Nagar,Pune,18.454203,73.780188,good,medium,high,True,25,8,harassment,2026-11-14 14:12,46
Viman Nagar,Pune,18.470904,73.910033,good,low,high,False,7,2,harassment,2026-02-01 13:48,41
Shivaji Nagar,Pune,18.481131,73.924887,moderate,low,medium,False,4,4,robbery,2026-09-03 23:37,40
Pimpri,Pune,18.568701,73.813169,poor,low,high,True,24,1,none,2026-05-19 10:28,32
Chinchwad,Pune,18.581813,73.730262,poor,low,low,False,16,5,theft,2026-09-24 05:56,42
Camp,Pune,18.508912,73.801599,poor,low,high,True,15,2,robbery,2026-04-06 11:42,29
Wakad,Pune,18.51661,73.912205,good,medium,high,False,17,2,harassment,2026-01-04 09:16,56
Pimpri,Pune,18.526258,73.937049,good,low,medium,False,20,5,robbery,2026-11-25 22:28,47
Camp,Pune,18.540406,73.862534,moderate,high,high,False,0,0,snatching,2026-11-26 16:40,52
Pashan,Pune,18.494411,73.77029,poor,high,medium,False,2,1,robbery,2026-09-25 19:07,54
Baner,Pune,18.488393,73.927954,poor,low,high,False,29,3,harassment,2026-12-05 03:34,18
Viman Nagar,Pune,18.533487,73.70916,good,medium,high,True,24,2,harassment,2026-02-12 20:14,64
Shivaji Nagar,Pune,18.454806,73.769086,moderate,low,medium,False,10,1,snatching,2026-07-29 09:01,49
Viman Nagar,Pune,18.584797,73.921998,moderate,low,low,True,25,7,none,2026-04-08 14:09,54
Baner,Pune,18.580336,73.825583,moderate,high,low,True,6,0,harassment,2026-03-21 20:31,90
Camp,Pune,18.62012,73.783307,moderate,low,high,True,27,0,none,2026-08-21 21:27,45
Camp,Pune,18.477198,73.923548,good,low,low,False,25,5,harassment,2026-02-07 05:34,62
Camp,Pune,18.550703,73.925578,good,high,high,True,27,2,robbery,2026-03-23 10:03,64
Hadapsar,Pune,18.462878,73.773588,moderate,high,low,False,16,5,snatching,2026-07-25 06:33,67
Pashan,Pune,18.64012,73.903144,good,medium,low,False,25,7,none,2026-05-23 13:34,71
Shivaji Nagar,Pune,18.537616,73.938908,poor,medium,high,False,36,6,snatching,2026-01-02 17:05,24
MG Road,Pune,18.504201,73.881889,good,high,high,False,16,8,snatching,2026-04-24 05:38,38
Hadapsar,Pune,18.492403,73.709294,moderate,low,high,True,8,6,harassment,2026-06-07 23:09,27
Kharadi,Pune,18.573233,73.949592,good,high,low,False,29,4,none,2026-09-28 03:02,80
Baner,Pune,18.480757,73.914699,good,low,low,True,25,6,none,2026-05-11 02:21,67
Baner,Pune,18.647062,73.817117,good,low,medium,False,28,4,robbery,2026-02-17 01:56,50
Viman Nagar,Pune,18.471483,73.856537,good,high,low,False,1,8,theft,2026-04-18 15:14,68
Pimpri,Pune,18.512111,73.949685,poor,low,medium,False,13,5,robbery,2026-06-29 16:37,27
Hinjewadi,Pune,18.618814,73.791207,good,low,low,False,13,7,robbery,2026-03-20 15:25,56
Shivaji Nagar,Pune,18.512129,73.923946,moderate,high,medium,False,1,2,snatching,2026-08-24 06:30,61
Pashan,Pune,18.5922,73.755605,good,medium,low,False,29,5,harassment,2026-10-05 17:51,77
Hinjewadi,Pune,18.566682,73.814091,good,medium,high,True,36,6,theft,2026-03-10 10:51,52
Hadapsar,Pune,18.453289,73.765952,poor,low,medium,True,17,1,theft,2026-07-02 20:50,47
Pimpri,Pune,18.645226,73.719646,good,low,medium,True,31,8,robbery,2026-02-06 22:40,46
Shivaji Nagar,Pune,18.553888,73.7326,good,low,medium,False,23,6,none,2026-11-15 04:27,44
Wakad,Pune,18.62626,73.926645,moderate,low,medium,False,10,8,robbery,2026-05-02 15:11,28
Hinjewadi,Pune,18.4561,73.849978,good,high,high,True,28,0,none,2026-09-02 13:00,70
Kharadi,Pune,18.547008,73.742817,poor,medium,medium,False,30,0,snatching,2026-04-13 16:52,57
Kothrud,Pune,18.528216,73.83938,poor,high,high,False,37,7,harassment,2026-05-19 14:46,21
Pimpri,Pune,18.527575,73.91565,moderate,low,medium,True,18,8,none,2026-01-21 02:37,36
Aundh,Pune,18.525011,73.740269,poor,low,high,False,11,6,theft,2026-04-12 02:56,9
Wakad,Pune,18.469142,73.791948,good,low,medium,False,24,4,harassment,2026-11-11 01:02,50
Yerwada,Pune,18.523977,73.789176,good,high,low,False,34,1,theft,2026-03-21 11:04,89
Kothrud,Pune,18.628055,73.776617,poor,low,medium,True,3,6,theft,2026-10-21 18:50,32
Yerwada,Pune,18.531784,73.945706,poor,low,medium,False,27,1,harassment,2026-11-08 01:39,39
Shivaji Nagar,Pune,18.451329,73.701721,poor,low,low,False,21,6,snatching,2026-07-04 09:37,39
Viman Nagar,Pune,18.56805,73.78237,poor,medium,medium,True,39,2,theft,2026-03-13 23:15,59
Hinjewadi,Pune,18.521845,73.717394,moderate,medium,low,True,2,6,snatching,2026-02-19 05:53,72
Viman Nagar,Pune,18.465858,73.758589,moderate,low,low,True,23,1,theft,2026-03-30 08:31,72
Yerwada,Pune,18.583182,73.732907,moderate,low,medium,False,0,6,harassment,2026-02-04 10:39,34
Aundh,Pune,18.495289,73.745925,good,low,medium,False,39,2,none,2026-07-27 03:11,56
Viman Nagar,Pune,18.579427,73.824045,good,high,low,False,32,3,robbery,2026-11-12 08:33,83
Yerwada,Pune,18.62903,73.912734,good,low,high,False,15,8,none,2026-09-02 05:35,23
Hadapsar,Pune,18.543297,73.940751,good,medium,high,True,40,6,harassment,2026-07-30 23:31,52
Hadapsar,Pune,18.495109,73.942871,poor,medium,medium,False,20,1,none,2026-11-21 00:14,54
Wakad,Pune,18.643406,73.835557,good,high,medium,False,9,7,theft,2026-07-05 16:13,56
Kothrud,Pune,18.6184,73.723622,good,high,medium,False,27,4,harassment,2026-06-26 19:50,65
Yerwada,Pune,18.524081,73.774119,poor,medium,high,False,15,5,harassment,2026-07-29 22:03,27
Kharadi,Pune,18.574052,73.869101,poor,medium,low,False,25,4,harassment,2026-08-07 10:40,60
MG Road,Pune,18.492169,73.838023,moderate,medium,medium,False,29,5,none,2026-06-08 22:54,52
Wakad,Pune,18.626222,73.900159,good,low,high,False,1,2,robbery,2026-04-04 02:59,41
MG Road,Pune,18.601741,73.716122,good,high,low,False,39,2,harassment,2026-06-02 15:27,86
MG Road,Pune,18.644133,73.780884,good,high,low,False,34,4,none,2026-06-01 12:35,80
Hadapsar,Pune,18.571305,73.835949,moderate,high,low,True,2,4,snatching,2026-06-17 09:20,78
Viman Nagar,Pune,18.600118,73.75042,poor,medium,low,False,40,2,snatching,2026-09-01 20:42,66
Pashan,Pune,18.546338,73.806567,good,low,low,True,37,8,theft,2026-08-22 12:05,61
Shivaji Nagar,Pune,18.456291,73.940656,good,low,high,True,7,0,harassment,2026-01-12 20:38,55
Shivaji Nagar,Pune,18.545066,73.724625,poor,high,low,False,14,6,robbery,2026-05-11 19:33,54
Kothrud,Pune,18.588716,73.727079,moderate,high,medium,False,23,8,harassment,2026-11-28 00:49,43
Kothrud,Pune,18.550096,73.875458,moderate,low,high,True,37,8,harassment,2026-05-23 09:24,21
MG Road,Pune,18.608646,73.937327,poor,high,low,True,27,3,theft,2026-06-01 19:50,71
Camp,Pune,18.52102,73.878545,good,low,high,False,19,2,snatching,2026-08-11 00:33,41
Camp,Pune,18.530628,73.947244,good,medium,medium,False,31,3,harassment,2026-02-25 22:10,68
Camp,Pune,18.599836,73.763732,good,high,low,False,38,8,harassment,2026-07-10 09:16,68
Shivaji Nagar,Pune,18.62046,73.787054,moderate,high,high,True,4,3,harassment,2026-01-17 02:45,51
Pimpri,Pune,18.472976,73.785615,moderate,high,low,False,39,8,theft,2026-08-10 18:36,58
MG Road,Pune,18.631296,73.710459,poor,low,medium,True,22,1,snatching,2026-03-08 19:46,47
Yerwada,Pune,18.451975,73.918227,poor,high,medium,False,11,1,none,2026-07-02 10:22,54
Kothrud,Pune,18.62885,73.883394,good,medium,high,False,8,1,snatching,2026-07-10 22:25,59
Viman Nagar,Pune,18.559115,73.889578,good,medium,medium,True,12,7,robbery,2026-07-19 14:31,64
Kharadi,Pune,18.632941,73.889065,good,low,high,False,23,5,none,2026-01-26 07:19,32
MG Road,Pune,18.638755,73.865065,poor,low,low,False,14,5,none,2026-03-16 04:06,42
Hinjewadi,Pune,18.475754,73.767587,moderate,medium,high,False,22,8,none,2026-09-20 13:45,28
Shivaji Nagar,Pune,18.561181,73.816526,moderate,medium,high,True,17,1,robbery,2026-04-27 12:21,57
MG Road,Pune,18.506626,73.946337,poor,medium,high,False,34,6,theft,2026-09-28 03:12,24
Wakad,Pune,18.498058,73.722947,poor,high,low,True,0,6,snatching,2026-02-01 20:21,62
Wakad,Pune,18.578043,73.700539,good,low,low,False,40,8,harassment,2026-03-18 10:44,53
Viman Nagar,Pune,18.521729,73.849524,good,low,high,True,32,0,snatching,2026-05-07 07:01,55
Pimpri,Pune,18.561114,73.793566,poor,low,medium,False,38,4,none,2026-09-13 00:19,30
Hinjewadi,Pune,18.45089,73.922164,good,medium,medium,False,13,3,none,2026-07-31 14:06,68
MG Road,Pune,18.513289,73.797768,good,high,medium,True,9,1,theft,2026-08-02 10:44,82
Yerwada,Pune,18.604011,73.82515,poor,low,low,False,40,3,none,2026-02-06 11:50,48
Kharadi,Pune,18.500566,73.786539,poor,low,medium,False,40,1,none,2026-03-26 11:23,39
Wakad,Pune,18.591159,73.781242,good,medium,low,True,39,6,theft,2026-11-26 02:47,82
Baner,Pune,18.596247,73.947453,poor,medium,low,False,27,8,snatching,2026-05-12 20:59,48
Hadapsar,Pune,18.520446,73.78735,good,high,low,True,29,4,harassment,2026-02-14 13:57,88
Viman Nagar,Pune,18.567723,73.92261,good,medium,high,False,9,0,theft,2026-02-10 15:56,62
Viman Nagar,Pune,18.588161,73.882318,good,high,low,True,31,7,robbery,2026-10-28 12:03,79
Pashan,Pune,18.593877,73.897254,poor,medium,low,False,26,0,none,2026-05-21 11:48,72
MG Road,Pune,18.568264,73.921119,good,medium,high,True,7,8,harassment,2026-06-22 22:19,46
Chinchwad,Pune,18.577682,73.843525,poor,medium,medium,True,9,6,snatching,2026-02-28 22:53,47
Aundh,Pune,18.596053,73.817376,moderate,medium,medium,True,2,7,snatching,2026-07-18 04:18,54
Kothrud,Pune,18.54366,73.858585,moderate,low,medium,True,33,8,snatching,2026-09-30 10:40,36
Yerwada,Pune,18.501368,73.707123,poor,high,medium,True,38,0,none,2026-06-09 22:42,65
Hadapsar,Pune,18.547271,73.71438,good,medium,high,False,4,4,none,2026-11-22 00:38,50
Yerwada,Pune,18.623302,73.862231,poor,low,low,True,15,1,none,2026-02-09 15:18,62
Aundh,Pune,18.579039,73.700037,poor,high,high,True,0,4,harassment,2026-05-02 20:40,38
Yerwada,Pune,18.637313,73.751563,moderate,medium,low,False,24,1,harassment,2026-08-29 04:05,79
Camp,Pune,18.55617,73.871538,poor,high,low,False,39,1,robbery,2026-07-20 15:32,69
Pimpri,Pune,18.470041,73.881277,moderate,low,high,False,16,7,robbery,2026-06-15 13:27,16
Viman Nagar,Pune,18.587709,73.740094,poor,low,low,True,8,0,snatching,2026-11-05 23:01,65
Yerwada,Pune,18.513514,73.716307,poor,low,low,False,37,1,theft,2026-02-07 11:48,54
Hadapsar,Pune,18.575008,73.923387,good,medium,low,True,22,0,snatching,2026-04-01 14:27,100
MG Road,Pune,18.475074,73.834579,moderate,low,medium,False,34,8,snatching,2026-10-18 19:21,28
Pimpri,Pune,18.535733,73.856598,good,low,medium,False,26,7,snatching,2026-10-31 02:15,41
Kharadi,Pune,18.536338,73.869835,moderate,medium,high,True,14,8,harassment,2026-09-23 00:09,36
Wakad,Pune,18.515743,73.907858,moderate,medium,low,True,19,2,snatching,2026-07-16 02:15,84
Viman Nagar,Pune,18.490511,73.901103,moderate,medium,low,False,12,0,snatching,2026-02-04 13:42,82
Yerwada,Pune,18.60633,73.94471,moderate,medium,low,False,3,7,none,2026-04-27 04:48,61
Wakad,Pune,18.540885,73.876007,poor,low,high,True,9,4,snatching,2026-03-24 11:43,23
Pimpri,Pune,18.622301,73.787422,moderate,medium,medium,False,23,3,robbery,2026-10-24 22:43,58
Viman Nagar,Pune,18.475895,73.854463,good,high,medium,True,19,2,harassment,2026-04-07 15:20,79
Pashan,Pune,18.498303,73.745412,poor,high,medium,True,16,7,snatching,2026-05-16 09:38,44
Viman Nagar,Pune,18.468273,73.770817,moderate,high,high,True,8,1,none,2026-11-05 13:14,57
Wakad,Pune,18.617482,73.781374,moderate,high,high,False,0,8,snatching,2026-01-23 18:39,28
Aundh,Pune,18.556719,73.746552,moderate,low,high,False,4,8,none,2026-05-27 08:01,13
Hadapsar,Pune,18.597828,73.923517,good,low,medium,False,13,6,robbery,2026-12-11 08:31,44
Aundh,Pune,18.477383,73.929003,poor,high,low,False,27,1,snatching,2026-07-17 10:27,69
Pimpri,Pune,18.531971,73.890631,moderate,high,low,False,31,4,harassment,2026-11-21 05:44,70
Aundh,Pune,18.590267,73.874546,good,medium,medium,True,15,5,theft,2026-09-20 03:34,70
Kothrud,Pune,18.509404,73.858145,poor,low,high,True,30,1,theft,2026-04-08 19:17,32
Wakad,Pune,18.465757,73.844377,good,medium,medium,True,20,1,theft,2026-02-22 22:17,82
MG Road,Pune,18.546564,73.918631,poor,low,medium,False,27,3,none,2026-02-13 22:20,33
Kothrud,Pune,18.569218,73.817848,good,low,high,True,12,0,theft,2026-05-21 23:28,55
Hadapsar,Pune,18.624916,73.727852,poor,medium,high,True,40,3,none,2026-07-15 09:01,41
Baner,Pune,18.562293,73.920706,good,low,high,False,21,5,none,2026-12-09 03:47,32
Pashan,Pune,18.635514,73.720837,good,low,low,True,29,6,harassment,2026-01-09 08:14,67
Hinjewadi,Pune,18.646866,73.744155,good,high,low,False,32,7,robbery,2026-06-08 01:36,71
Camp,Pune,18.50727,73.901512,good,high,low,True,3,5,robbery,2026-07-20 18:55,85
Chinchwad,Pune,18.591253,73.708261,moderate,low,medium,False,38,3,none,2026-03-09 18:58,43
Pashan,Pune,18.488128,73.866432,poor,high,high,False,24,7,snatching,2026-06-05 17:05,21
Yerwada,Pune,18.607369,73.92468,good,low,medium,False,8,8,harassment,2026-07-03 05:41,38
Kharadi,Pune,18.606176,73.878122,poor,medium,high,True,29,3,snatching,2026-01-08 05:51,41
Hinjewadi,Pune,18.560981,73.834685,good,medium,high,False,25,6,snatching,2026-03-30 12:16,44
Kothrud,Pune,18.62831,73.728093,moderate,high,low,False,23,7,robbery,2026-10-09 13:21,61
Yerwada,Pune,18.527534,73.931453,good,high,medium,False,29,7,robbery,2026-03-03 12:29,56
Kharadi,Pune,18.545395,73.813527,poor,medium,high,False,26,3,robbery,2026-07-03 16:02,33
Baner,Pune,18.596078,73.924438,poor,low,high,False,23,6,robbery,2026-02-03 03:05,9
Pimpri,Pune,18.456822,73.700154,good,medium,medium,True,30,6,robbery,2026-02-20 19:16,67
Hadapsar,Pune,18.456353,73.796833,good,high,low,False,0,1,snatching,2026-08-24 07:42,89
Hinjewadi,Pune,18.52797,73.828971,good,high,high,False,38,3,harassment,2026-04-19 01:07,53
Pashan,Pune,18.583252,73.850205,good,medium,medium,True,39,5,harassment,2026-07-01 06:25,70
Pashan,Pune,18.523458,73.839533,good,low,low,True,9,5,robbery,2026-02-10 22:24,70
MG Road,Pune,18.574294,73.908497,moderate,medium,high,False,28,2,theft,2026-03-27 20:48,46
Shivaji Nagar,Pune,18.491001,73.758376,moderate,high,high,True,4,1,theft,2026-02-18 19:20,57
Kharadi,Pune,18.460295,73.894196,moderate,low,low,True,25,1,none,2026-09-06 19:14,72
Baner,Pune,18.5348,73.846248,moderate,low,low,False,18,6,harassment,2026-05-02 14:19,49
Wakad,Pune,18.601993,73.738762,poor,medium,low,False,11,3,none,2026-08-29 02:50,63
Aundh,Pune,18.564012,73.816213,good,low,medium,False,39,0,snatching,2026-10-29 15:55,62
Chinchwad,Pune,18.504515,73.831048,moderate,medium,low,False,13,8,harassment,2026-09-28 22:08,58
Hadapsar,Pune,18.492367,73.830944,poor,high,high,True,26,7,snatching,2026-09-22 04:52,29
Wakad,Pune,18.519699,73.714044,moderate,medium,medium,True,29,5,robbery,2026-05-24 18:42,60
Aundh,Pune,18.568421,73.938926,good,high,low,True,31,8,robbery,2026-08-01 14:54,76
Baner,Pune,18.518929,73.904526,good,low,medium,True,16,4,theft,2026-06-03 00:11,58
Viman Nagar,Pune,18.582685,73.828602,poor,high,medium,True,27,1,harassment,2026-04-07 18:15,62
Yerwada,Pune,18.634847,73.92338,good,medium,low,False,25,5,robbery,2026-09-22 11:12,77
Shivaji Nagar,Pune,18.526008,73.70088,moderate,medium,medium,True,0,5,snatching,2026-07-10 22:30,60
Pashan,Pune,18.518844,73.886645,good,high,medium,True,33,8,snatching,2026-08-26 17:22,61
Shivaji Nagar,Pune,18.574296,73.752259,poor,medium,medium,True,38,5,harassment,2026-10-09 03:52,50
Yerwada,Pune,18.556653,73.869793,moderate,high,low,True,31,2,harassment,2026-08-11 14:28,84
Aundh,Pune,18.526985,73.736524,moderate,low,high,False,8,8,none,2026-08-10 11:39,13
Wakad,Pune,18.520341,73.789037,moderate,medium,medium,True,9,1,harassment,2026-01-05 04:03,72
Baner,Pune,18.556013,73.850809,poor,low,low,False,20,5,none,2026-06-11 09:06,42
Pimpri,Pune,18.568294,73.903214,moderate,high,medium,True,31,0,snatching,2026-02-22 19:00,75
Wakad,Pune,18.531074,73.920695,moderate,high,medium,True,21,7,theft,2026-03-20 20:27,54
Viman Nagar,Pune,18.587695,73.764584,poor,low,medium,False,25,3,robbery,2026-04-20 05:55,33
MG Road,Pune,18.516827,73.874168,good,medium,high,True,33,5,harassment,2026-05-04 08:25,55
Viman Nagar,Pune,18.539818,73.818789,good,medium,medium,False,14,3,harassment,2026-10-02 13:18,68
Aundh,Pune,18.622962,73.763614,good,medium,high,True,6,8,none,2026-11-11 18:44,46
Aundh,Pune,18.607379,73.718548,moderate,low,low,True,25,2,snatching,2026-10-05 05:34,69
Hinjewadi,Pune,18.562314,73.799142,poor,high,low,True,6,5,theft,2026-06-02 12:04,65
Kothrud,Pune,18.529756,73.796795,good,high,low,False,20,5,robbery,2026-03-14 08:09,77
Pashan,Pune,18.552015,73.765164,poor,high,high,False,2,2,none,2026-02-24 09:37,36
MG Road,Pune,18.647612,73.711812,moderate,high,high,False,27,2,snatching,2026-03-19 10:05,46
Baner,Pune,18.508754,73.882384,poor,medium,low,True,31,1,snatching,2026-02-02 05:25,77
MG Road,Pune,18.478315,73.923943,good,high,low,False,15,0,robbery,2026-03-29 21:49,92
Pashan,Pune,18.53168,73.801249,moderate,high,high,True,4,7,snatching,2026-08-24 13:52,39
Aundh,Pune,18.568463,73.880229,good,low,medium,False,21,4,harassment,2026-07-03 18:29,50
Kharadi,Pune,18.518152,73.884602,good,low,low,False,19,3,theft,2026-08-31 03:12,68
Baner,Pune,18.536705,73.895578,good,high,high,False,20,1,harassment,2026-10-11 02:08,59
Kothrud,Pune,18.648034,73.814389,poor,medium,medium,True,11,2,none,2026-10-03 20:42,59
Yerwada,Pune,18.555721,73.742703,poor,medium,high,True,16,0,snatching,2026-03-24 01:43,50
Yerwada,Pune,18.570527,73.750816,moderate,low,high,False,26,5,robbery,2026-05-05 23:18,22
Shivaji Nagar,Pune,18.492326,73.752274,good,low,high,True,13,2,theft,2026-09-25 08:00,49
Pimpri,Pune,18.49052,73.910597,moderate,medium,medium,False,30,6,robbery,2026-04-23 03:37,49
Pashan,Pune,18.543222,73.754135,moderate,medium,low,False,3,8,snatching,2026-06-09 11:55,58
Shivaji Nagar,Pune,18.595796,73.745567,moderate,high,low,False,39,0,none,2026-02-20 00:52,82
Wakad,Pune,18.642587,73.850671,moderate,high,high,True,24,8,robbery,2026-01-17 00:23,36
Hinjewadi,Pune,18.555048,73.766827,moderate,medium,high,True,33,7,harassment,2026-12-03 07:19,39
Kharadi,Pune,18.524304,73.750533,moderate,medium,medium,False,1,7,none,2026-02-17 00:57,46
Viman Nagar,Pune,18.61197,73.851896,poor,high,medium,False,23,4,snatching,2026-10-07 22:38,45
MG Road,Pune,18.510537,73.805328,moderate,high,low,True,37,5,robbery,2026-10-16 21:22,75
Kharadi,Pune,18.63909,73.832337,good,low,high,False,10,1,harassment,2026-12-12 17:59,44
Kharadi,Pune,18.542425,73.872441,poor,high,low,True,28,1,theft,2026-06-22 01:13,77
Camp,Pune,18.526475,73.819031,moderate,medium,high,True,30,8,none,2026-03-01 00:52,36
Pashan,Pune,18.644932,73.862548,moderate,low,medium,True,9,4,none,2026-02-28 15:28,48
Kothrud,Pune,18.556648,73.858866,good,low,medium,True,5,6,snatching,2026-09-22 07:00,52
Pashan,Pune,18.58675,73.858235,good,high,high,True,30,3,snatching,2026-09-03 17:06,61
Pimpri,Pune,18.587524,73.704797,good,high,low,False,37,7,none,2026-08-11 01:48,71
Baner,Pune,18.580024,73.897125,good,low,medium,True,28,2,harassment,2026-05-29 09:59,64
MG Road,Pune,18.563641,73.880269,good,high,high,True,26,2,none,2026-04-21 06:53,64
Hinjewadi,Pune,18.503569,73.799423,poor,medium,low,True,37,0,harassment,2026-06-30 18:42,80
Aundh,Pune,18.490986,73.939931,good,medium,high,False,17,5,harassment,2026-10-31 05:52,47
Pimpri,Pune,18.505147,73.784127,moderate,high,high,True,36,0,none,2026-05-14 04:37,60
MG Road,Pune,18.622908,73.861843,good,low,high,False,37,3,none,2026-04-02 14:07,38
Hinjewadi,Pune,18.52431,73.743299,moderate,medium,low,False,14,3,robbery,2026-09-16 07:27,73
Shivaji Nagar,Pune,18.542694,73.723115,good,medium,high,True,17,4,none,2026-10-01 15:48,58
Aundh,Pune,18.495598,73.844274,moderate,medium,low,False,19,8,none,2026-02-14 18:45,58
Pashan,Pune,18.510567,73.776843,moderate,high,high,False,7,5,theft,2026-04-24 19:53,37
MG Road,Pune,18.458778,73.827553,good,medium,high,True,22,4,harassment,2026-08-20 02:55,58
Aundh,Pune,18.58402,73.766927,poor,high,medium,True,31,7,theft,2026-10-08 08:21,44
Pashan,Pune,18.627799,73.740117,good,high,medium,False,35,4,none,2026-09-25 18:17,65
Yerwada,Pune,18.638396,73.752166,good,low,medium,False,13,6,snatching,2026-11-02 01:35,44
Shivaji Nagar,Pune,18.466525,73.886015,poor,medium,low,False,32,0,snatching,2026-07-05 10:11,72
Shivaji Nagar,Pune,18.465842,73.890048,good,high,high,True,2,2,robbery,2026-03-04 15:13,64
Camp,Pune,18.569714,73.910132,good,medium,medium,True,25,0,none,2026-03-25 23:47,85
Camp,Pune,18.454895,73.758227,poor,medium,medium,True,4,6,snatching,2026-03-03 19:59,47
Yerwada,Pune,18.525089,73.718307,poor,low,high,True,0,8,robbery,2026-01-08 03:57,11
